congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
112,Senate,14230,31,0,IA,100,0.0,1.0,"HARKIN, Thomas Richard (Tom)",H000206,1939.0,,-0.351,-0.546,-59.50591,0.861,399.0,29.0,
112,Senate,14852,32,0,KS,200,0.0,1.0,"ROBERTS, Charles Patrick (Pat)",R000307,1936.0,,0.415,-0.096,-110.92998,0.75407,393.0,53.0,1.0
112,Senate,29722,32,0,KS,200,0.0,1.0,"MORAN, Jerry",M000934,1954.0,,0.412,0.266,-125.03715,0.72571,390.0,64.0,1.0
112,Senate,14921,51,0,KY,200,0.0,1.0,"McCONNELL, Addison Mitchell (Mitch)",M000355,1942.0,,0.404,0.003,-91.78242,0.79943,410.0,41.0,1.0
112,Senate,41104,51,0,KY,200,0.0,1.0,"PAUL, Rand",P000603,1963.0,,0.878,-0.479,-126.01564,0.72568,393.0,43.0,1.0
112,Senate,29918,45,0,LA,200,0.0,1.0,"VITTER, David",V000127,1961.0,,0.495,0.323,-122.49722,0.728,386.0,55.0,
112,Senate,49702,45,0,LA,100,0.0,1.0,"LANDRIEU, Mary L.",L000550,1955.0,,-0.203,0.444,-64.13669,0.852,400.0,28.0,
112,Senate,14661,2,0,ME,200,0.0,1.0,"SNOWE, Olympia Jean",S000663,1947.0,,0.091,-0.548,-143.73514,0.701,404.0,77.0,
112,Senate,49703,2,0,ME,200,0.0,1.0,"COLLINS, Susan Margaret",C001035,1952.0,,0.107,-0.574,-120.62751,0.74512,410.0,52.0,1.0
112,Senate,14440,52,0,MD,100,0.0,1.0,"MIKULSKI, Barbara Ann",M000702,1936.0,,-0.37,-0.128,-50.83496,0.882,404.0,21.0,
112,Senate,15408,52,0,MD,100,0.0,1.0,"CARDIN, Benjamin Louis",C000141,1943.0,,-0.329,-0.256,-41.69879,0.90307,409.0,12.0,1.0
112,Senate,14920,3,0,MA,100,0.0,1.0,"KERRY, John Forbes",K000148,1943.0,,-0.352,-0.382,-41.34711,0.899,390.0,25.0,
112,Senate,40913,3,0,MA,200,3.0,2.0,"BROWN, Scott P.",B001268,1959.0,,0.128,-0.294,-118.93215,0.747,407.0,52.0,
112,Senate,14709,23,0,MI,100,0.0,1.0,"LEVIN, Carl",L000261,1934.0,,-0.395,-0.116,-66.02555,0.851,410.0,25.0,
112,Senate,29732,23,0,MI,100,0.0,1.0,"STABENOW, Deborah Ann",S000770,1950.0,,-0.327,0.017,-69.76284,0.84177,405.0,30.0,1.0
112,Senate,40700,33,0,MN,100,0.0,1.0,"KLOBUCHAR, Amy",K000367,1960.0,,-0.24,-0.176,-65.00902,0.85304,409.0,30.0,1.0
112,Senate,40904,33,0,MN,100,0.0,1.0,"FRANKEN, Al",F000457,1951.0,,-0.411,-0.157,-38.03422,0.91141,410.0,12.0,1.0
112,Senate,14009,46,0,MS,200,0.0,1.0,"COCHRAN, William Thad",C000567,1937.0,,0.286,0.05,-122.03958,0.74202,409.0,62.0,1.0
112,Senate,29534,46,0,MS,200,0.0,1.0,"WICKER, Roger F.",W000437,1951.0,,0.376,0.365,-94.56347,0.79085,403.0,45.0,1.0
112,Senate,29735,34,0,MO,200,0.0,1.0,"BLUNT, Roy",B000575,1950.0,,0.431,0.288,-143.10562,0.70233,405.0,74.0,1.0
112,Senate,40701,34,0,MO,100,0.0,1.0,"McCASKILL, Claire",M001170,1953.0,,-0.147,-0.001,-134.01727,0.7135,397.0,52.0,1.0
112,Senate,14203,64,0,MT,100,0.0,1.0,"BAUCUS, Max Sieben",B000243,1941.0,,-0.212,0.017,-89.52452,0.802,406.0,40.0,
112,Senate,40702,64,0,MT,100,0.0,1.0,"TESTER, Jon",T000464,1956.0,,-0.214,0.171,-96.1587,0.78957,407.0,43.0,1.0
112,Senate,40103,35,0,NE,100,0.0,1.0,"NELSON, Earl Benjamin (Ben)",N000180,1941.0,,-0.03,0.588,-101.88529,0.779,408.0,47.0,
112,Senate,40905,35,0,NE,200,0.0,1.0,"JOHANNS, Mike",J000291,1950.0,,0.391,0.293,-113.89675,0.756,408.0,49.0,
112,Senate,15054,65,0,NV,100,0.0,1.0,"REID, Harry",R000146,1939.0,,-0.276,0.258,-77.47897,0.827,409.0,25.0,
112,Senate,20730,65,0,NV,200,2.0,5.0,"HELLER, Dean",H001041,1960.0,,0.463,-0.474,-244.89154,0.49274,346.0,105.0,1.0
112,Senate,29537,65,0,NV,200,1.0,1.0,"ENSIGN, John Eric",E000194,1958.0,,0.508,-0.464,-13.01926,0.71,38.0,8.0,
112,Senate,40906,4,0,NH,100,0.0,1.0,"SHAHEEN, Jeanne",S001181,1947.0,,-0.272,-0.343,-42.63326,0.90055,407.0,17.0,1.0
112,Senate,41106,4,0,NH,200,0.0,1.0,"AYOTTE, Kelly",A000368,1968.0,,0.351,-0.612,-95.77281,0.791,408.0,38.0,
112,Senate,14914,12,0,NJ,100,0.0,1.0,"LAUTENBERG, Frank Raleigh",L000123,1924.0,2013.0,-0.382,-0.579,-33.49883,0.916,380.0,11.0,
112,Senate,29373,12,0,NJ,100,0.0,1.0,"MENENDEZ, Robert",M000639,1954.0,,-0.36,-0.114,-52.14723,0.87919,405.0,19.0,1.0
112,Senate,14912,66,0,NM,100,0.0,1.0,"BINGAMAN, Jesse Francis, Jr. (Jeff)",B000468,1943.0,,-0.266,0.045,-57.43829,0.868,406.0,19.0,
112,Senate,29924,66,0,NM,100,0.0,1.0,"UDALL, Thomas (Tom)",U000039,1948.0,,-0.455,0.182,-34.83823,0.91679,401.0,13.0,1.0
112,Senate,14858,13,0,NY,100,0.0,1.0,"SCHUMER, Charles Ellis (Chuck)",S000148,1950.0,,-0.35,-0.404,-38.10247,0.90936,401.0,17.0,1.0
112,Senate,20735,13,0,NY,100,0.0,1.0,"GILLIBRAND, Kirsten",G000555,1966.0,,-0.354,0.103,-34.81011,0.91822,408.0,15.0,1.0
112,Senate,29548,47,0,NC,200,0.0,1.0,"BURR, Richard M.",B001135,1955.0,,0.454,-0.059,-100.48505,0.77184,388.0,41.0,1.0
112,Senate,40907,47,0,NC,100,0.0,1.0,"HAGAN, Kay",H001049,1953.0,,-0.202,0.281,-62.66907,0.857,405.0,27.0,
112,Senate,15502,36,0,ND,100,0.0,1.0,"CONRAD, Kent",C000705,1948.0,,-0.296,0.582,-58.95028,0.864,403.0,29.0,
112,Senate,41107,36,0,ND,200,0.0,1.0,"HOEVEN, John",H001061,1957.0,,0.338,0.335,-97.46607,0.78564,404.0,47.0,1.0
112,Senate,29386,24,0,OH,200,0.0,1.0,"PORTMAN, Robert Jones (Rob)",P000449,1955.0,,0.375,-0.258,-96.10771,0.79013,408.0,40.0,1.0
112,Senate,29389,24,0,OH,100,0.0,1.0,"BROWN, Sherrod",B000944,1952.0,,-0.439,-0.145,-46.49063,0.89155,405.0,22.0,1.0
112,Senate,15424,53,0,OK,200,0.0,1.0,"INHOFE, James Mountain",I000024,1934.0,,0.551,0.037,-101.50925,0.7698,388.0,48.0,1.0
112,Senate,29555,53,0,OK,200,0.0,1.0,"COBURN, Thomas Allen",C000560,1948.0,,0.782,0.055,-97.29195,0.776,383.0,51.0,
112,Senate,14871,72,0,OR,100,0.0,1.0,"WYDEN, Ronald Lee",W000779,1949.0,,-0.314,-0.406,-60.17014,0.85969,398.0,22.0,1.0
112,Senate,40908,72,0,OR,100,0.0,1.0,"MERKLEY, Jeff",M001176,1956.0,,-0.445,-0.76,-61.90969,0.85889,407.0,25.0,1.0
112,Senate,29935,14,0,PA,200,0.0,1.0,"TOOMEY, Patrick Joseph",T000461,1961.0,,0.629,-0.29,-90.52648,0.7997,405.0,44.0,1.0
112,Senate,40703,14,0,PA,100,0.0,1.0,"CASEY, Robert (Bob), Jr.",C001070,1960.0,,-0.296,0.196,-57.38098,0.8685,407.0,27.0,1.0
112,Senate,29142,5,0,RI,100,0.0,1.0,"REED, John F. (Jack)",R000122,1949.0,,-0.39,-0.254,-46.78164,0.89192,409.0,16.0,1.0
112,Senate,40704,5,0,RI,100,0.0,1.0,"WHITEHOUSE, Sheldon",W000802,1955.0,,-0.424,-0.255,-42.66702,0.90071,408.0,17.0,1.0
